product_name,price_current,price_original,rating,ram,Rom,Display_size,Camera,selfie,battery,processor
"vivo T3 Pro 5G (Sandstone Orange, 256 GB",26999,31999,4.5,8 GB RAM,256 GB ROM,17.2 cm ,50MP + 8MP,16MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor
"vivo T3 Pro 5G (Emerald Green, 128 GB",24999,29999,4.5,8 GB RAM,128 GB ROM,17.2 cm ,50MP + 8MP,16MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor
"vivo T3 Pro 5G (Sandstone Orange, 128 GB",24999,29999,4.5,8 GB RAM,128 GB ROM,17.2 cm ,50MP + 8MP,16MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor
"vivo T3 Lite 5G (Majestic Black, 128 GB",11499,15499,4.4,6 GB RAM,128 GB ROM,16.66 cm ,50MP + 2MP,8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"vivo T3 Lite 5G (Vibrant Green, 128 GB",11499,15499,4.4,6 GB RAM,128 GB ROM,16.66 cm ,50MP + 2MP,8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"vivo T3 Lite 5G (Vibrant Green, 128 GB",10499,14499,4.4,4 GB RAM,128 GB ROM,16.66 cm ,50MP + 2MP,8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"vivo T3 Lite 5G (Majestic Black, 128 GB",10499,14499,4.4,4 GB RAM,128 GB ROM,16.66 cm ,50MP + 2MP,8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radi",1293,1599,4,32 MB RAM,32 MB ROM,4.5 cm ,0MP,0MP Front Camera,1000 mAh Battery,SC6531E Processor
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB",22999,25999,4.5,8 GB RAM,128 GB ROM,17.02 cm ,50MP + 13MP,32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor
"Motorola g45 5G (Brilliant Green, 128 GB",12999,14999,4.5,8 GB RAM,128 GB ROM,16.51 cm ,50MP + 2MP,16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"Motorola Edge 50 Fusion (Forest Blue, 128 GB",22999,25999,4.5,8 GB RAM,128 GB ROM,17.02 cm ,50MP + 13MP,32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor
"Motorola G85 5G (Olive Green, 128 GB",17999,20999,4.4,8 GB RAM,128 GB ROM,16.94 cm ,50MP + 8MP,32MP Front Camera,5000 mAh Battery,6s Gen 3 Processor
"REDMI 13C (Starfrost White, 128 GB",7699,11999,4.2,4 GB RAM,128 GB ROM,17.12 cm ,50MP Rear Camera,8MP Front Camera,5000 mAh Battery,Helio G85 Processor
"Motorola G85 5G (Olive Green, 256 GB",19999,22999,4.4,12 GB RAM,256 GB ROM,16.94 cm ,50MP + 8MP,32MP Front Camera,5000 mAh Battery,6s Gen 3 Processor
"Motorola G85 5G (Cobalt Blue, 128 GB",17999,20999,4.4,8 GB RAM,128 GB ROM,16.94 cm ,50MP + 8MP,32MP Front Camera,5000 mAh Battery,6s Gen 3 Processor
