product_name                                                                           ,price_current ,price_original ,rating ,ram       ,Rom                   ,Display_size ,Camera                 ,selfie             ,battery                     ,processor
"Motorola G34 5G (Ice Blue, 128 GB"                                                    ,        11999 ,         14999 ,   4.2 ,8 GB RAM  ,128 GB ROM            ,16.51 cm     ,50MP + 2MP             ,16MP Front Camera  ,5000 mAh Battery            ,Snapdragon 695 5G Processor
"Motorola G34 5G (Ocean Green, 128 GB"                                                 ,        11999 ,         14999 ,   4.2 ,8 GB RAM  ,128 GB ROM            ,16.51 cm     ,50MP + 2MP             ,16MP Front Camera  ,5000 mAh Battery            ,Snapdragon 695 5G Processor
"POCO M6 Pro 5G (Power Black, 128 GB"                                                  ,         9999 ,         16999 ,   4.2 ,6 GB RAM  ,128 GB ROM            ,17.25 cm     ,50MP + 2MP             ,8MP Front Camera   ,5000 mAh Battery            ,Snapdragon 4 Gen 2 Processor
"Motorola G34 5G (Charcoal Black, 128 GB"                                              ,        11999 ,         14999 ,   4.2 ,8 GB RAM  ,128 GB ROM            ,16.51 cm     ,50MP + 2MP             ,16MP Front Camera  ,5000 mAh Battery            ,Snapdragon 695 5G Processor
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radi"                      ,         1264 ,          1597 ,   4.1 ,32 MB RAM ,32 MB ROM             ,4.5 cm       ,0MP                    ,0MP Front Camera   ,1000 mAh Battery            ,SC6531E Processor
"Motorola Edge 50 Fusion (Hot Pink, 256 GB"                                            ,        24999 ,         27999 ,   4.5 ,12 GB RAM ,256 GB ROM            ,17.02 cm     ,50MP + 13MP            ,32MP Front Camera  ,5000 mAh Battery            ,7s Gen 2 Processor
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB"                                    ,        22999 ,         25999 ,   4.5 ,8 GB RAM  ,128 GB ROM            ,17.02 cm     ,50MP + 13MP            ,32MP Front Camera  ,5000 mAh Battery            ,7s Gen 2 Processor
"Motorola g04s (Satin Blue, 64 GB"                                                     ,         6999 ,          9999 ,   4.2 ,4 GB RAM  ,64 GB ROM             ,16.76 cm     ,50MP Rear Camera       ,5MP Front Camera   ,5000 mAh Battery            ,T606 Processor
"REDMI 13C (Starshine Green, 128 GB"                                                   ,         7699 ,         11999 ,   4.3 ,4 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP Rear Camera       ,8MP Front Camera   ,5000 mAh Battery            ,Helio G85 Processor
"Motorola g64 5G (Ice Lilac, 128 GB"                                                   ,        13999 ,         17999 ,   4.2 ,8 GB RAM  ,128 GB ROM            ,16.51 cm     ,50MP (OIS) + 8MP       ,16MP Front Camera  ,6000 mAh Battery            ,Dimensity 7025 Processor
"POCO C65 (Pastel Blue, 128 GB"                                                        ,         6999 ,         10999 ,   4.3 ,4 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP + AI Lens + 2MP   ,8MP Front Camera   ,5000 mAh Battery            ,Helio G85 Processor
"POCO C65 (Pastel Green, 128 GB"                                                       ,         6999 ,         10999 ,   4.3 ,4 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP + AI Lens + 2MP   ,8MP Front Camera   ,5000 mAh Battery            ,Helio G85 Processor
"POCO C65 (Pastel Blue, 128 GB"                                                        ,         7499 ,         11999 ,   4.2 ,6 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP + AI Lens + 2MP   ,8MP Front Camera   ,5000 mAh Battery            ,Helio G85 Processor
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radi"                      ,         1249 ,          1599 ,   4.1 ,32 MB RAM ,32 MB ROM             ,4.5 cm       ,0MP                    ,0MP Front Camera   ,1000 mAh Battery            ,SC6531E Processor
"Motorola g64 5G (Mint Green, 128 GB"                                                  ,        13999 ,         17999 ,   4.2 ,8 GB RAM  ,128 GB ROM            ,16.51 cm     ,50MP (OIS) + 8MP       ,16MP Front Camera  ,6000 mAh Battery            ,Dimensity 7025 Processor
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB"                                    ,        18574 ,         21999 ,   4.4 ,8 GB RAM  ,256 GB ROM            ,17.07 cm     ,108MP Rear Camera      ,                   ,5000 mAh Battery            ,Domestic Warranty of 12 months on phone & 6 months on accessories
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB"                                       ,        16887 ,         19997 ,   4.4 ,8 GB RAM  ,128 GB ROM            ,17.07 cm     ,108MP Rear Camera      ,                   ,5000 mAh Battery            ,Domestic Warranty of 12 months on phone & 6 months on accessories
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB"                                    ,        16890 ,         19999 ,   4.4 ,8 GB RAM  ,128 GB ROM            ,17.07 cm     ,108MP Rear Camera      ,                   ,5000 mAh Battery            ,Domestic Warranty of 12 months on phone & 6 months on accessories
"REDMI 13C (Stardust Black, 128 GB"                                                    ,         7699 ,         11999 ,   4.3 ,4 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP Rear Camera       ,8MP Front Camera   ,5000 mAh Battery            ,Helio G85 Processor
"REDMI 13C (Starfrost White, 128 GB"                                                   ,         7699 ,         11999 ,   4.3 ,4 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP Rear Camera       ,8MP Front Camera   ,5000 mAh Battery            ,Helio G85 Processor
"Motorola g64 5G (Pearl Blue, 128 GB"                                                  ,        13999 ,         17999 ,   4.2 ,8 GB RAM  ,128 GB ROM            ,16.51 cm     ,50MP (OIS) + 8MP       ,16MP Front Camera  ,6000 mAh Battery            ,Dimensity 7025 Processor
"POCO C65 (Pastel Green, 128 GB"                                                       ,         7499 ,         11999 ,   4.2 ,6 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP + AI Lens + 2MP   ,8MP Front Camera   ,5000 mAh Battery            ,Helio G85 Processor
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB"                                       ,        18745 ,         21999 ,   4.4 ,8 GB RAM  ,256 GB ROM            ,17.07 cm     ,108MP Rear Camera      ,                   ,5000 mAh Battery            ,Domestic Warranty of 12 months on phone & 6 months on accessories
"realme 12x 5G (Twilight Purple, 128 GB"                                               ,        14999 ,         18999 ,   4.4 ,8 GB RAM  ,128 GB ROM            ,17.07 cm     ,50MP + 2MP             ,8MP Front Camera   ,5000 mAh Battery            ,Dimensity 6100+ Processor
"Motorola g64 5G (Ice Lilac, 256 GB"                                                   ,        15999 ,         19999 ,   4.2 ,12 GB RAM ,256 GB ROM            ,16.51 cm     ,50MP (OIS) + 8MP       ,16MP Front Camera  ,6000 mAh Battery            ,Dimensity 7025 Processor
"realme 12x 5G (Woodland Green, 128 GB"                                                ,        12999 ,         17999 ,   4.4 ,6 GB RAM  ,128 GB ROM            ,17.07 cm     ,50MP + 2MP             ,8MP Front Camera   ,5000 mAh Battery            ,Dimensity 6100+ Processor
"realme 12x 5G (Twilight Purple, 128 GB"                                               ,        12999 ,         17999 ,   4.4 ,6 GB RAM  ,128 GB ROM            ,17.07 cm     ,50MP + 2MP             ,8MP Front Camera   ,5000 mAh Battery            ,Dimensity 6100+ Processor
"POCO C65 (Matte Black, 128 GB"                                                        ,         6999 ,         10999 ,   4.3 ,4 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP + AI Lens + 2MP   ,8MP Front Camera   ,5000 mAh Battery            ,Helio G85 Processor
"POCO C65 (Matte Black, 128 GB"                                                        ,         7499 ,         11999 ,   4.2 ,6 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP + AI Lens + 2MP   ,8MP Front Camera   ,5000 mAh Battery            ,Helio G85 Processor
"POCO C61 (Ethereal Blue, 64 GB"                                                       ,         6499 ,          8999 ,   4.2 ,4 GB RAM  ,64 GB ROM             ,17.04 cm     ,8MP Rear Camera        ,5MP Front Camera   ,5000 mAh Battery            ,Helio G36 Processor
"POCO M6 5G - Locked with Airtel Prepaid (Orion Blue, 128 GB"                          ,         7999 ,         12999 ,   4.1 ,4 GB RAM  ,128 GB ROM            ,17.12 cm     ,50MP Rear Camera       ,5MP Front Camera   ,5000 mAh Battery            ,Mediatek Dimensity 6100+ Processor
"vivo T3x 5G (Crimson Bliss, 128 GB"                                                   ,        14999 ,         18999 ,   4.5 ,6 GB RAM  ,128 GB ROM            ,17.07 cm     ,50MP + 2MP             ,8MP Front Camera   ,6000 mAh Battery            ,6 Gen 1 Processor
"vivo T3x 5G (Celestial Green, 128 GB"                                                 ,        16499 ,         20499 ,   4.4 ,8 GB RAM  ,128 GB ROM            ,17.07 cm     ,50MP + 2MP             ,8MP Front Camera   ,6000 mAh Battery            ,6 Gen 1 Processor
"Motorola Edge 50 Fusion (Hot Pink, 128 GB"                                            ,        22999 ,         25999 ,   4.5 ,8 GB RAM  ,128 GB ROM            ,17.02 cm     ,50MP + 13MP            ,32MP Front Camera  ,5000 mAh Battery            ,7s Gen 2 Processor
"vivo T3x 5G (Celestial Green, 128 GB"                                                 ,        13499 ,         17499 ,   4.5 ,4 GB RAM  ,128 GB ROM            ,17.07 cm     ,50MP + 2MP             ,8MP Front Camera   ,6000 mAh Battery            ,6 Gen 1 Processor
"vivo T3x 5G (Crimson Bliss, 128 GB"                                                   ,        16499 ,         20499 ,   4.4 ,8 GB RAM  ,128 GB ROM            ,17.07 cm     ,50MP + 2MP             ,8MP Front Camera   ,6000 mAh Battery            ,6 Gen 1 Processor
"POCO C61 (Diamond Dust Black, 64 GB"                                                  ,         6499 ,          8999 ,   4.2 ,4 GB RAM  ,64 GB ROM             ,17.04 cm     ,8MP Rear Camera        ,5MP Front Camera   ,5000 mAh Battery            ,Helio G36 Processor
