,author,published_at,updated_at,like_count,text
0,@wastagetoprecious,2024-09-07T09:38:23Z,2024-09-07T09:38:23Z,0,Naman is completely down to earth. Wish ki ye banda zindegi me bohut aage jaye.
1,@minkukumar9779,2024-09-07T09:30:48Z,2024-09-07T09:30:48Z,0,7 September yaad h
2,@12.akashdas63,2024-09-07T09:30:43Z,2024-09-07T09:30:43Z,0,When Samay said ki aisa laag Raha hai ki Kapil sharma show mein aah Gaya I agreed with him. But he actually was a writer of Kapil Sharma show. Isn&#39;t that too much of a coincidence?
3,@lazyboy00,2024-09-07T09:16:15Z,2024-09-07T09:16:15Z,0,"Ye mst tha <a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=1981"">33:01</a>"
4,@akanshsrivastava6466,2024-09-07T09:15:41Z,2024-09-07T09:15:41Z,1,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2967"">49:27</a>  me watching on 7 th sep"
5,@Officialrajneeshkumar,2024-09-07T08:57:11Z,2024-09-07T08:57:11Z,1,Winner hone pe kya milta hai …
6,@sameervlogs04,2024-09-07T08:55:50Z,2024-09-07T08:55:50Z,0,Phele ladki ne bola tabhi band kr ke jaa rha hu ladki pyar me andhi 😂 usse jada ankh kisi ki nhi khuli hoti.....
7,@kuldeeppalsingh8895,2024-09-07T08:55:17Z,2024-09-07T08:55:17Z,0,Krra yaa nahi new episode upload hen be ??
8,@avasapam2225,2024-09-07T08:50:01Z,2024-09-07T08:50:01Z,0,I already watched 3 4times naman vai hats off u 🔥🔥🔥 what a sense of humor vro🔥🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵
9,@MyMintu007,2024-09-07T08:43:15Z,2024-09-07T08:43:15Z,0,so this guy is in…..Call me Bae¿¿
10,@Shortcreator-sq7ke,2024-09-07T08:41:27Z,2024-09-07T08:41:27Z,0,"Samay phone password is 2020 at. <a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=1556"">25:56</a>"
11,@nitant4476,2024-09-07T08:36:38Z,2024-09-07T08:36:38Z,1,Samay bhai next episode kb aayega Bhut samay hogya hai😢
12,@harshitachavda3726,2024-09-07T08:32:04Z,2024-09-07T08:32:04Z,0,"Seeing this on 7th September from Mumbai, and hating why I didnt buy the tickets to the show😭😭"
13,@danniel77,2024-09-07T08:20:38Z,2024-09-07T08:20:38Z,0,Plezzz samay bhai mai b kashmir sai hu apko kashmiriyat ka sawal deta hu abhishek upmanu ko bulavo plezzz bro plezzz
14,@ksvcotent2615,2024-09-07T08:18:25Z,2024-09-07T08:18:25Z,0,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=1965"">32:45</a> bro got aura back"
15,@shubhamkagra7577,2024-09-07T08:15:07Z,2024-09-07T08:15:07Z,0,Where is next episode
16,@sudeshnadey3256,2024-09-07T08:05:22Z,2024-09-07T08:05:22Z,0,"Saw Naman in &quot;Call Me Bae&quot;. He was a Gem! I started watching, skipping mostly, waiting for Vir Das! But witnessing Naman was 🤯🤯"
17,@Samkhan06,2024-09-07T08:04:13Z,2024-09-07T08:04:13Z,0,🔥🔥✨❤️❤️
18,@diamavi4020,2024-09-07T07:57:50Z,2024-09-07T07:57:50Z,0,Ohh bhai 😍😂😂
19,@Dintoki_Sensei,2024-09-07T07:57:42Z,2024-09-07T07:57:42Z,0,Worst panel 😊
20,@GXTSHUMAIL,2024-09-07T07:53:17Z,2024-09-07T07:53:17Z,0,Bhai Munwar Faaruqi Ko kab Balao Ge
21,@karanp3471,2024-09-07T07:45:01Z,2024-09-07T07:45:01Z,0,What the fuck bruh there was no comedy notjing kya bullshit tha vi banda
22,@AkankshaJangir190892,2024-09-07T07:38:10Z,2024-09-07T07:38:10Z,0,Naman arora is in call me bae too!!! Episode 3...
23,@eincreation,2024-09-07T07:34:47Z,2024-09-07T07:34:47Z,0,Samay Bhai please Munawar Bhai ko leke awa ek episode ma. Please Bhai ❤️❤
24,@user-rf1dx2ff4e,2024-09-07T07:34:21Z,2024-09-07T07:34:21Z,0,Dislike for &#39;goo-naal bhangra&#39;
25,@abhishekanand4938,2024-09-07T07:33:57Z,2024-09-07T07:33:57Z,0,Nice show
26,@JACK_VOLG852,2024-09-07T07:30:39Z,2024-09-07T07:30:39Z,1,Today&#39;s 7 September 🎉🎉🎉
27,@SitadeviChaudhry,2024-09-07T07:28:25Z,2024-09-07T07:28:25Z,0,Osm navan arora and samay raina😂
28,@bobbyeditingz,2024-09-07T07:21:41Z,2024-09-07T07:21:41Z,0,Naman gone viral❤❤❤ plz support to this guy ❤❤
29,@expressionnikhil,2024-09-07T07:21:27Z,2024-09-07T07:21:27Z,0,Bhai etney lambey time mai q upload krrahey ho videos ab bakchodi dkhney ki aadat dhaldi hai toh jldi jldi dikhao ab upload krney mai b BC krogay kya?<br><br>New Episodes upload Krna bhai...
30,@harshmalviya5034,2024-09-07T06:59:57Z,2024-09-07T06:59:57Z,0,Vote for aakash gupta as a judge 🎈
31,@sdbhai4170,2024-09-07T06:58:54Z,2024-09-07T06:58:54Z,0,Bhai yar krsna aur karma se pata karo na yar ye rhyme kahase karte hai english me to mil jata hai online Hindi me milte he nahi yar main v ek artist hu mujhe v jaannaa hai
32,@priyanka4694,2024-09-07T06:51:06Z,2024-09-07T06:51:06Z,0,Naman ! Star of the entire episodes so far!
33,@KoraaKaagaz,2024-09-07T06:45:06Z,2024-09-07T06:45:06Z,0,"Mood kharab kar diya takle ko dekhkar...closing video at <a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=84"">1:24</a>"
34,@borisgeorge7019,2024-09-07T06:44:21Z,2024-09-07T06:44:21Z,0,"I was trying to figure out throughout the set if it was an act, now that I&#39;ve watched it back a few times, I think the giveaway is in the way he is holding the mic, he makes a loop with it, I&#39;ve only seen professional stand-up comics do this"
35,@nishantraj9008,2024-09-07T06:42:34Z,2024-09-07T06:42:34Z,0,Atul Khatri ruined this episode.
36,@viditsports3905,2024-09-07T06:37:39Z,2024-09-07T06:37:39Z,0,Bhai new episode lao waiting
37,@DineshBaraili-tn3ql,2024-09-07T06:29:47Z,2024-09-07T06:29:47Z,0,Waw😂
38,@HumanRadio9,2024-09-07T06:17:37Z,2024-09-07T06:17:37Z,0,❤
39,@freyblake9028,2024-09-07T06:11:43Z,2024-09-07T06:11:43Z,1,Chamar kamra ko kyu bulaya
40,@statusforyou4093,2024-09-07T06:08:48Z,2024-09-07T06:08:48Z,0,New episode kab aayega bhai
41,@PuneriVlogss,2024-09-07T06:02:29Z,2024-09-07T06:02:29Z,0,"Munawwar Faruqui, Deepak kalal"
42,@Bigboss_ott_03_trending,2024-09-07T05:59:34Z,2024-09-07T05:59:34Z,0,"He got 2 lakh rs <a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=4026"">1:07:06</a>"
43,@Blackdhruv7,2024-09-07T05:47:20Z,2024-09-07T05:47:20Z,1,"<a href=""UCAov2BBv1ZJav0c_yHEciAw/KVbvXqOXFsGh-gPpp4TYCw""></a><a href=""UCAov2BBv1ZJav0c_yHEciAw/KVbvXtmgFsGh-gPpp4TYCw""></a><a href=""UCAov2BBv1ZJav0c_yHEciAw/KVbvXpmiFsGh-gPpp4TYCw""></a><a href=""UCAov2BBv1ZJav0c_yHEciAw/uJPzXrnDLo70-gOEwJjgBQ""></a><a href=""UCAov2BBv1ZJav0c_yHEciAw/nu-VYOvRMOiX8gTVspiICQ""></a><a href=""UCAov2BBv1ZJav0c_yHEciAw/nu-VYMbSMOiX8gTVspiICQ""></a>"
44,@Bigboss_ott_03_trending,2024-09-07T05:32:57Z,2024-09-07T05:32:57Z,3,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2680"">44:40</a> as kashmir mein internet suvidha itni ni hoti"
45,@ayushkhute6608,2024-09-07T05:26:21Z,2024-09-07T05:26:21Z,1,20.34
46,@ND00923,2024-09-07T05:09:45Z,2024-09-07T05:09:45Z,0,CAN INDIANS DO ANYTHING ORIGINAL??? what in the tony kill fk is this...pisses me off
47,@swarupdas2783,2024-09-07T05:01:37Z,2024-09-07T05:01:37Z,0,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2649"">44:09</a> 💀🙏"
48,@RajdeepChavda-h5z,2024-09-07T04:39:37Z,2024-09-07T04:39:37Z,0,New ep kab bhai ?
49,@EnglishOrSpanish96,2024-09-07T04:23:10Z,2024-09-07T04:23:10Z,1,Yaar samay chowkdi laa yaar kafi time se charo bndo ko sath dekhne ka mann❤️🫶🏻
50,@VedanshSinghVolgg,2024-09-07T04:21:23Z,2024-09-07T04:21:23Z,0,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2958"">49:18</a> mai 7 september ko dekh bhi rha hu"
51,@zusenrilkr1226,2024-09-07T03:50:29Z,2024-09-07T03:50:29Z,0,Naman arora is the gatis kandis of india
52,@Pp-yi7nj,2024-09-07T03:42:40Z,2024-09-07T03:43:12Z,0,Naman is in call me bae that’s the amazon show he was referring to
53,@Obscura_AI,2024-09-07T03:10:58Z,2024-09-07T03:10:58Z,0,How did you find Naman Arora!!!
54,@RehanQureshi-pg1oi,2024-09-07T02:40:19Z,2024-09-07T02:40:19Z,0,Bhai kon kon munawar faroki ko dekhne Aya hai 😅😅😅😅
55,@sunehachauhan03,2024-09-07T00:42:13Z,2024-09-07T00:42:13Z,0,Participate kaise karna hai wo btao ??
56,@bhupinderrai4224,2024-09-06T23:35:22Z,2024-09-06T23:35:22Z,0,I just want only a hug to naman... Very simple and natural person ❤
57,@bhupinderrai4224,2024-09-06T23:29:54Z,2024-09-06T23:29:54Z,0,Bhai naman ko hee repeat kr rha hu us se agge jane ka mann nhi kr rha hai 😂
58,@harsh8499,2024-09-06T22:49:18Z,2024-09-06T22:49:18Z,1,Painting was awesome!!❤❤
59,@jungle_king_,2024-09-06T22:39:50Z,2024-09-06T22:39:50Z,1,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=3297"">54:57</a> mujhe dil se khushi hui ❤🎉"
60,@geetanshumoyal3919,2024-09-06T22:20:29Z,2024-09-06T22:20:29Z,0,Kunal kamra k kisne thappad maarke bithaya h
61,@monikasingh5091,2024-09-06T21:49:24Z,2024-09-06T21:49:24Z,0,Today is 7 September 🎉🎉 Naman Arora
62,@aniketbhurkud3910,2024-09-06T21:18:30Z,2024-09-06T21:18:30Z,0,Aaj 7 spt hai samay bhai bulaoge na naman bhai ko
63,@Saifyt-x3e,2024-09-06T20:57:02Z,2024-09-06T20:57:39Z,0,"Ab samaj aya itne likes kyu is video ka until wifi come😂😂 <a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2643"">44:03</a>"
64,@imnoob432,2024-09-06T20:42:36Z,2024-09-06T20:42:36Z,0,Ajj he 7th sep...
65,@anamika6541,2024-09-06T20:38:56Z,2024-09-06T20:38:56Z,0,Pass de dena yaar ek har ek shows bina skip kiye dekhti hu itni acchi lagti hai yeh show …🥲
66,@shaikhghulam1396,2024-09-06T20:30:34Z,2024-09-06T20:30:34Z,1,Samay new episode q nahi daal raha hai??
67,@SrijanSingh_9001,2024-09-06T20:15:39Z,2024-09-06T20:15:39Z,1,"When you realise Naman was just acting this way,he isn&#39;t this way"
68,@anonymous-pd5zd,2024-09-06T20:14:46Z,2024-09-06T20:14:46Z,1,Naman is on Call Me Bae! WOW!!! Way to go 👏🏼👏🏼
69,@SumitSharma-d6o,2024-09-06T20:11:03Z,2024-09-06T20:11:03Z,0,Kapil sharma kon h<br>Hum to samay ko dekhte h❤
70,@OMEGAGOESVIRAL,2024-09-06T20:05:20Z,2024-09-06T20:05:29Z,0,Bass show krta rhega daalna nhi hai kya??😂
71,@OMEGAGOESVIRAL,2024-09-06T20:05:00Z,2024-09-06T20:05:00Z,1,Bhai naya episode bhi nikal de
72,@soulheal8449,2024-09-06T20:04:05Z,2024-09-06T20:04:05Z,0,How to apply on this show
73,@user-vh5xs7ml8d,2024-09-06T19:53:24Z,2024-09-06T19:53:24Z,0,"Next latent show with munawar, harsh gujral, aakash gupta"
74,@shikharbatra,2024-09-06T19:47:16Z,2024-09-06T19:47:16Z,0,Me watching that guy on 7th september.
75,@AmzadHussain-pv6gu,2024-09-06T19:42:26Z,2024-09-06T19:42:26Z,0,Two timing 😂
76,@shreyanshparashara3678,2024-09-06T19:40:05Z,2024-09-06T19:40:05Z,0,"<a href=""UCAov2BBv1ZJav0c_yHEciAw/KVbvXqOXFsGh-gPpp4TYCw""></a>"
77,@lokibawag8660,2024-09-06T19:39:50Z,2024-09-06T19:39:50Z,0,Bhai ye show viral hua hai toh Naman bhai ki vjah se bhai he killed this show or inki viral reels dekh k pura show dekha
78,@comedystatus3613,2024-09-06T19:39:14Z,2024-09-06T19:39:14Z,0,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2008"">33:28</a> yeh"
79,@suhanikhandelwal1949,2024-09-06T19:29:46Z,2024-09-06T19:29:46Z,0,kardia subscribe abb tickets bhi dedo
80,@RohitSharma-jg8ym,2024-09-06T19:18:21Z,2024-09-06T19:18:21Z,1,"Subscribe Naman Arora&#39;s channel- <a href=""https://www.youtube.com/@NamanArora.official"">https://www.youtube.com/@NamanArora.official</a>"
81,@ujjawalkumar2114,2024-09-06T19:14:47Z,2024-09-06T19:14:47Z,0,😂😂
82,@jinaleemehta3028,2024-09-06T19:08:28Z,2024-09-06T19:08:28Z,0,Upmanyu aur naman ko saath lao plz 🤌<br>Dono ke sirf accent se show hit ho jayega!
83,@Romy_wadhwani,2024-09-06T19:02:09Z,2024-09-06T19:02:09Z,0,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2854"">47:34</a> mja"
84,@jashansharma8374,2024-09-06T18:59:35Z,2024-09-06T18:59:46Z,0,Naman arora was predenting this or he was really disable ?
85,@cobrazwill4412,2024-09-06T18:55:00Z,2024-09-06T18:55:00Z,0,Cooollll
86,@gauravmishra7158,2024-09-06T18:44:51Z,2024-09-06T18:44:51Z,0,Today is 7 September
87,@secretgaming6648,2024-09-06T18:23:45Z,2024-09-06T18:23:45Z,1,Naman arora act was mid not that good
88,@AnuragKumarSingh-h9t,2024-09-06T18:18:37Z,2024-09-06T18:18:37Z,0,Naman Arora 🔥😅
89,@ninja4O5,2024-09-06T18:11:40Z,2024-09-06T18:11:40Z,2,Bro where is the next ep man?
90,@singh_jii__21,2024-09-06T18:08:35Z,2024-09-06T18:08:35Z,0,😂😂😂😂🎉🎉🎉🎉
91,@swirlskincare1396,2024-09-06T18:06:33Z,2024-09-06T18:06:59Z,1,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=3144"">52:24</a>. He is in Call me bae on prime video amazing 🤩🎉"
92,@ak-xgamer6279,2024-09-06T18:03:30Z,2024-09-06T18:03:30Z,0,Bhai aap ek no. Ho aur wo  naman Arora toh bhai zener banda h .. 😂
93,@ShekharKhanal-p1b,2024-09-06T18:01:20Z,2024-09-06T18:01:20Z,0,Issi ummed se kiya hai ki band mil jaye
94,@Creativenew001,2024-09-06T17:47:39Z,2024-09-06T17:47:39Z,0,Samay bear piyega 💀
95,@shortsmafia3038,2024-09-06T17:44:53Z,2024-09-06T17:44:53Z,1,"BHAI DIPRETION ME HU KB AAYEGA NEW EPISODE <a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a>"
96,@mahendranaikar248,2024-09-06T17:44:27Z,2024-09-06T17:44:27Z,0,Hii Samay when will you bring Deepak kalal please it&#39;s and request please bring him 😅
97,@Greebhavarora,2024-09-06T17:38:41Z,2024-09-06T17:38:41Z,0,💗
98,@woweditz154,2024-09-06T17:37:33Z,2024-09-06T17:37:33Z,0,Bhai Ekdin me 6 bar Dekh Chuka Hu Naman Bhai ko!!!OP!!!
99,@awesomehyarr,2024-09-06T17:36:05Z,2024-09-06T17:36:05Z,0,Kal 7 September h bro 💀
100,@krishnapoddar8539,2024-09-06T17:31:39Z,2024-09-06T17:31:39Z,0,Samay bhai. Thanks for bringing arora. He rockssss
101,@saikatchattopadhyay8263,2024-09-06T17:29:53Z,2024-09-06T17:29:53Z,0,Aise shows ke views dekh ke pata chalta hain desh kaha pe jaara h!! Bencho sirf chapri reh jayenge !!
102,@vickyrall3934,2024-09-06T17:14:00Z,2024-09-06T17:14:00Z,2,"Brother Urfi Yadav came to your show and she has started her new show, when is your episode coming?😢"
103,@sunilkharel1862,2024-09-06T16:55:49Z,2024-09-06T16:55:49Z,1,Desperately waiting for next episode
104,@maitreyaeiupadhyay2206,2024-09-06T16:53:22Z,2024-09-06T16:53:22Z,0,here  only for naman arora
105,@RoronoaZoro70707,2024-09-06T16:52:29Z,2024-09-06T16:52:29Z,0,Request to drop naman his 50 minutes on youtube
106,@NeerajPandey87,2024-09-06T16:51:25Z,2024-09-06T16:51:25Z,0,Waiting for 7 Sept vedio me Naman ka intejaar hai.
107,@pallavidas3982,2024-09-06T16:50:51Z,2024-09-06T16:50:51Z,0,Balraj ❤
108,@eldenring3906,2024-09-06T16:39:29Z,2024-09-06T16:39:29Z,0,"Naman arora  from <a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2270"">37:50</a>"
109,@Capf_Ac,2024-09-06T16:37:09Z,2024-09-06T16:37:09Z,1,Janta demand : show again 🎉
110,@adarshthemonster6398,2024-09-06T16:34:39Z,2024-09-06T16:34:39Z,4,bhai dal de nya
111,@AyushRwt-f8b,2024-09-06T16:26:17Z,2024-09-06T16:26:17Z,0,bhncho samay bhai bdygrds ke liye chair tho lga do 5 ep tk khade hi hai😂😂
112,@RiziAli05,2024-09-06T16:17:00Z,2024-09-06T16:17:00Z,0,"Samay bro give him a chance (complete show) to perform, please <br><a href=""http://www.youtube.com/results?search_query=%23namanarora"">#NamanArora</a>"
113,@RiziAli05,2024-09-06T16:05:51Z,2024-09-06T16:05:51Z,0,I want to see naman Arora..... Life time..
114,@amittairpariya2447,2024-09-06T16:02:34Z,2024-09-06T16:02:34Z,0,Time 5 min ho toh aur mjja aayega
115,@HindustaniBeastGamerZ,2024-09-06T16:02:06Z,2024-09-06T16:02:46Z,0,"<a href=""http://www.youtube.com/results?search_query=%23samay"">#samay</a> bhai apki best friend <a href=""http://www.youtube.com/results?search_query=%23suhani"">#suhani</a> shah ko bulao na"
116,@Laudabhai7,2024-09-06T15:48:40Z,2024-09-06T15:48:57Z,0,Kunal Kamra = Rohit Sharma
